製品コード,製品名,カテゴリ,規格,単位,販売単価(円),製造原価(円),内容量,賞味期間(日),保管条件,現在庫量,在庫金額(円),最低在庫数,最大在庫数,販売開始日,販売状態,備考
PRD-001,プレーンスポンジケーキ,スポンジケーキ,丸6号,個,1800,820,直径18cm,3,要冷蔵,42,34440,20,100,2020-04-01,販売中,
PRD-002,チョコレートスポンジケーキ,スポンジケーキ,丸6号,個,2000,950,直径18cm,3,要冷蔵,35,33250,20,100,2020-04-01,販売中,
PRD-003,ショートケーキ(いちご),デコレーションケーキ,丸6号,個,3500,1650,直径18cm,2,要冷蔵,18,29700,10,60,2020-04-01,販売中,受注生産対応可
PRD-004,チョコレートケーキ,デコレーションケーキ,丸6号,個,3800,1800,直径18cm,2,要冷蔵,12,21600,10,60,2021-02-14,販売中,
PRD-005,モンブラン,タルト・タルトレット,5号,個,2800,1250,直径15cm,2,要冷蔵,8,10000,5,40,2022-09-01,販売中,秋冬限定
PRD-006,フルーツタルト,タルト・タルトレット,6号,個,3200,1480,直径18cm,2,要冷蔵,14,20720,5,40,2020-06-01,販売中,
PRD-007,レアチーズケーキ,チーズケーキ,丸5号,個,2600,1150,直径15cm,4,要冷蔵,22,25300,10,80,2020-04-01,販売中,
PRD-008,ベイクドチーズケーキ,チーズケーキ,丸5号,個,2400,1050,直径15cm,5,要冷蔵,28,29400,10,80,2020-04-01,販売中,
PRD-009,アップルパイ,パイ,ホール,個,2200,980,直径18cm,3,常温,45,49500,20,100,2020-04-01,販売中,
PRD-010,ミートパイ,パイ,ホール,個,2500,1200,直径18cm,3,常温,30,37500,10,60,2021-10-01,販売中,
PRD-011,プレーンシュークリーム,シュークリーム,標準,個,280,110,1個,2,要冷蔵,180,19800,100,500,2020-04-01,販売中,
PRD-012,チョコシュークリーム,シュークリーム,標準,個,300,125,1個,2,要冷蔵,145,17400,100,500,2020-04-01,販売中,
PRD-013,プレーンマドレーヌ,焼き菓子,標準,個,180,65,1個,14,常温,350,22750,200,1000,2020-04-01,販売中,
PRD-014,チョコマドレーヌ,焼き菓子,標準,個,200,78,1個,14,常温,280,22400,200,1000,2020-04-01,販売中,
PRD-015,フィナンシェ(プレーン),焼き菓子,標準,個,200,82,1個,14,常温,320,25600,200,1000,2020-07-01,販売中,
PRD-016,フィナンシェ(チョコ),焼き菓子,標準,個,220,95,1個,14,常温,260,22880,200,1000,2021-07-01,販売中,
PRD-017,プレーンクッキー(6枚),焼き菓子,6枚セット,袋,480,155,6枚入,30,常温,420,72240,200,1500,2020-04-01,販売中,
PRD-018,アソートクッキー(12枚),焼き菓子,12枚セット,箱,980,340,12枚入,30,常温,285,139650,100,800,2020-04-01,販売中,
PRD-019,チョコブラウニー,焼き菓子,カット,個,250,95,1個,7,常温,480,45600,300,2000,2021-03-01,販売中,
PRD-020,バウムクーヘン(小),バウムクーヘン,小,個,1200,520,直径10cm,14,常温,95,49400,50,300,2021-08-01,販売中,
PRD-021,バウムクーヘン(大),バウムクーヘン,大,個,2400,1050,直径18cm,14,常温,48,50400,20,150,2021-08-01,販売中,
PRD-022,プレーンロールケーキ,ロールケーキ,標準,本,1600,720,27cm,3,要冷蔵,25,18000,15,80,2020-04-01,販売中,
PRD-023,いちごロールケーキ,ロールケーキ,標準,本,1800,850,27cm,2,要冷蔵,18,14400,15,80,2020-04-01,販売中,
PRD-024,マフィン(プレーン),マフィン,標準,個,240,88,1個,5,常温,220,19360,100,600,2020-04-01,販売中,
PRD-025,マフィン(ブルーベリー),マフィン,標準,個,260,98,1個,5,常温,195,20280,100,600,2020-04-01,販売中,
PRD-026,スコーン(プレーン),スコーン,標準,個,220,80,1個,7,常温,310,27900,200,1000,2022-01-01,販売中,
PRD-027,スコーン(チョコチップ),スコーン,標準,個,240,90,1個,7,常温,270,25920,200,1000,2022-01-01,販売中,
PRD-028,レモンパウンドケーキ,パウンドケーキ,スライス,個,280,108,1切れ,10,常温,380,42560,200,1200,2020-04-01,販売中,
PRD-029,マーブルパウンドケーキ,パウンドケーキ,スライス,個,300,120,1切れ,10,常温,340,40800,200,1200,2020-04-01,販売中,
PRD-030,ギフトボックス(6種入り),ギフトセット,アソート,箱,3800,1600,6種各1個,14,常温,55,87450,20,200,2020-10-01,販売中,季節限定品あり
